epoch,loss,e_pos,e_neg,grad_penalty
1,0.19960505266984305,2.0606939542607467e-05,-5.0675331364730555e-05,0.997668634622525
2,0.17840342815869895,0.0029302778547832696,0.004184296232266113,0.8979947796234717
3,0.028538011969664157,0.26290744127562415,0.31522771639701647,0.3839912372521865
4,0.013650007545948029,0.3889910643681502,0.47657791544229555,0.4725171235891489
5,0.04893083039384622,0.10435921727464749,0.15279048580962878,0.4717363493564801
6,-0.009433714529642692,0.048608257178551495,0.16529409458430913,0.5280790130297343
7,-0.12068618738498443,0.14833098649978638,0.375986479031734,0.5286408769778717
8,-0.18534124852755132,0.09709617625683165,0.380528565400686,0.482833580328868
9,-0.2153113698348021,0.10561001104995227,0.40596507833554196,0.41389617782372695
10,-0.25971549424605495,0.1598217059404422,0.49361687134473753,0.3500262636404771
11,-0.2315262007789734,0.33537697677428907,0.636764135880348,0.3126676862056439
12,-0.16802289365575865,0.2689645489056905,0.49946202910863435,0.2712869216234256
13,-0.10499432659110962,-0.03376421881600832,0.12780084568434036,0.25333120234501666
14,-0.07007475321491559,-0.3153634875630721,-0.18986335076773778,0.25642438576771664
15,-0.043753757451971374,-0.46966914202158266,-0.3658669913808505,0.28300573313847566
16,-0.05743724714295986,-0.4705780331905072,-0.35502371879724354,0.27575787061300033
17,-0.0832746389011542,-0.4516239525415959,-0.31046508477093315,0.2731785896496895
18,-0.10513495983412632,-0.4637253869038362,-0.3046871390289221,0.24623177028619325
19,-0.16768879319230715,-0.29708626966636914,-0.08449940581638844,0.20411917032339635
20,-0.4165769712283061,-0.273248254488676,0.1811299276753114,0.16953263336267227
21,-0.31914431964739776,-1.0366908800907624,-0.6405777275944368,0.34128035261080814
22,-0.13635087347565553,-2.1990367632645826,-1.9952352536030304,0.2745354420099503
23,-0.08281700007426433,-2.46120469386761,-2.3089925081301956,0.2788178775555048
24,-0.047744071445403956,-2.5268868727561755,-2.3988887530106764,0.33194571886307156
25,-0.0697804818359705,-2.5261331766079635,-2.368625047879341,0.37114955752323836
26,-0.0816585256312138,-2.3544470102359085,-2.1777425362513614,0.41625735545769715
27,-0.10199452191591263,-2.067773158733661,-1.87163464533977,0.4246317323965904
28,-0.1452261133071704,-1.965501993130415,-1.7231394877800574,0.4415553449056087
29,-0.14889351622416422,-2.0594686605991464,-1.7915304135053585,0.5474917048063034
30,-0.14034961355038178,-2.49632497322865,-2.2285471879518948,0.5708391842169639
31,-0.1377634562743016,-2.868860574869009,-2.596677994116759,0.5879862537750831
32,-0.16103223520211685,-2.9352907951061544,-2.6409550263331485,0.5804845958183973
33,-0.18842318061834726,-3.0619054513099866,-2.7408023308484983,0.5714463186569703
34,-0.20341461037213987,-3.0175448258717856,-2.68527191113203,0.5550162287858816
35,-0.23724332165259582,-2.968246961251283,-2.602755454870371,0.5545602914614555
36,-0.2465824530674861,-2.9438669009086413,-2.5719248086978226,0.5413357027066059
37,-0.22898951936990786,-2.77454084616441,-2.4287338929298596,0.5075749571506794
38,-0.23402585700536385,-2.479290246963501,-2.1272410460007496,0.5272526198472732
39,-0.266105371981095,-2.20882501357641,-1.8236173330209193,0.5443932597453778
40,-0.2502891222635905,-2.1851552449739895,-1.8164652983347576,0.5423098611526
41,-0.2635095192071719,-2.0905625086564283,-1.7091260384290645,0.5437826437827868
42,-0.27656498283911973,-2.069341928530962,-1.6778652606866298,0.5302927914338235
43,-0.2952595353126526,-1.9564822912216187,-1.534832850480691,0.5913661534969623
44,-0.3130842577188443,-1.8946038056642582,-1.4675993980505528,0.5312123344494746
45,-0.29971439525102955,-1.7702198181396875,-1.3481712402441564,0.5772897998491923
46,-0.3147576504792923,-1.7938128954324968,-1.3592311296707544,0.5643548545164939
47,-0.3077801832785973,-1.8180733552345862,-1.392206778893104,0.5543403847095294
48,-0.3126715402572583,-1.7049146401576507,-1.2693422879928198,0.5813612594054296
49,-0.3150607622586764,-1.7659160082156842,-1.3296827566929352,0.571005893823428
50,-0.3140829667831079,-1.8044119339722853,-1.3754043579101562,0.539104068126434
51,-0.31161062457622624,-1.8298684236330864,-1.3989273462540064,0.5601633512056791
52,-0.3155241106183101,-1.7628642656864264,-1.3250257571538289,0.5763015854053009
53,-0.3075223824916742,-1.7952311589167669,-1.3663181127646031,0.5693807105223337
54,-0.3063014932931998,-1.692217163550548,-1.2681754796932905,0.5558476692590958
55,-0.31113108839744175,-1.7775512719765687,-1.3441923703902807,0.5759304280464466
56,-0.31264518124934954,-1.6362464764179327,-1.2010795825567,0.5812049446961819
57,-0.30356306831041974,-1.639227616481292,-1.2168666139627113,0.5625665080852997
58,-0.29333205406482404,-1.5858576481158917,-1.1748487857671885,0.5590370626021655
59,-0.29061821294136536,-1.5681807505778778,-1.161833711159535,0.5495207233306689
60,-0.3052145013442406,-1.5190012454986572,-1.099207885754414,0.5458177060653002
61,-0.30334407778886646,-1.5112226070501866,-1.0914479325979183,0.5550982761077392
62,-0.29690244526435167,-1.424834205554082,-1.011071536785517,0.5589396464519012
63,-0.2959484721605594,-1.4701588795735285,-1.0536216634970446,0.5761314821548951
64,-0.2831396724169071,-1.3453592275961852,-0.947632589401343,0.5496752147491162
65,-0.30115960461971086,-1.3507227102915447,-0.936240751009721,0.5432471816356366
66,-0.2968810273286624,-1.248088463758811,-0.838866515037341,0.5407409950708731
67,-0.29098915366026074,-1.299164613087972,-0.8981335835579114,0.5281474857758253
68,-0.2821332776011565,-1.3291567991941402,-0.9292848064349248,0.5654772405440991
