epoch,loss,e_pos,e_neg,grad_penalty
1,0.1996758698652952,3.4005969992242565e-05,-9.697245497637852e-05,0.9977242136612917
2,0.1834573187889197,0.0052945510035034464,0.0008785013730327288,0.8948076596626868
3,0.14469236670396265,0.1890340621750324,0.12502266667210138,0.3901003774924156
4,0.16547227612672707,0.2664674822336588,0.18402406974480703,0.4010366881505037
5,0.17445172063815287,0.11081933363890037,0.044142917258282885,0.5321203462588482
6,0.17719118469036543,0.09568853848255597,0.032110717290869124,0.5617780135228083
7,0.17510238328041175,0.0330313417272499,-0.01692965405826003,0.6214838318335705
8,0.16636328609325948,0.030137156793035757,-0.006881540247167532,0.6424627716724689
9,0.15742280047673446,0.05664703511418058,0.028763345108391382,0.6418595787806388
10,0.1391435286555535,0.03537707654639888,0.0303513029208168,0.6647220804141118
11,0.09936472763999915,0.16349132636036628,0.19027393681403154,0.6211470594772925
12,0.05228996047606835,0.36035062487308794,0.40402065026454437,0.46473162984236693
13,0.021427035618286867,0.2216199970780275,0.2823367214355713,0.3931228212821178
14,-0.025931185636764918,0.3723256209721932,0.473050628335048,0.34174417150326264
15,0.04398864841996095,0.19675087890563867,0.22259022266818926,0.3225635160238315
16,0.060093579575037345,0.1419486252543254,0.14645036290853453,0.30369412975433546
17,0.04733574710404261,0.22068848002415437,0.22662021143314165,0.252578154588357
18,0.07746628289803481,-0.014671687968075275,-0.03336975448884261,0.2860086617561487
19,0.07454148956980461,-0.1842147293381202,-0.1951195240402833,0.3111886718334296
20,0.09508018147868988,-0.3750596680702307,-0.4017259188187428,0.33444156555029064
21,0.02062010660003393,-0.1861038043593558,-0.15660154595015904,0.2400514861712089
22,0.015294049412776262,-0.21617776889783832,-0.18948309887678194,0.19802903326658103
23,0.04691903684765865,-0.5189858109523089,-0.5160567072721628,0.2373005082974067
24,0.04431435933861977,-0.6633189152448605,-0.65414836926338,0.2558560936878889
25,0.020131793422385667,-0.7089920288477188,-0.6893942310259893,0.186220054825147
26,0.04555389564484358,-1.011496534714332,-1.026141487635099,0.13410583214882094
27,0.0633969876724176,-1.1162620477187328,-1.1455874748719044,0.1491426653586901
28,0.07630826537616742,-1.2603304905769153,-1.2994846869737675,0.16119755040376615
29,0.08805415316078907,-1.4332447204834375,-1.48188032859411,0.16819943029146928
30,0.0956795425273669,-1.5336535007525713,-1.5851870438991449,0.18953402722493196
31,0.10911642091396527,-1.50522877008487,-1.5682125855714848,0.20048523445924124
32,0.11356778113314739,-1.535373213963631,-1.6008891203464606,0.20928502999819243
33,0.10173502225333299,-1.4886794426502326,-1.5440329007613354,0.20248278211324644
34,0.11302151339940536,-1.522558820553315,-1.5865446543082213,0.21506097263250595
35,0.11245638332687892,-1.529489740347251,-1.5905882395230806,0.22685421124482766
36,0.1108852199350412,-1.419404809291546,-1.4835327374629486,0.2064479574179038
37,0.1249923568027906,-1.4833494119155102,-1.5542705823213627,0.24201639416890267
38,0.12162751857286845,-1.3916005415794177,-1.4586767111069117,0.24714002930201018
39,0.11654653777487767,-1.4002938331701817,-1.4636494838274443,0.23990980631265885
40,0.11931819970218036,-1.3932502667109172,-1.4630049895017574,0.2215964266887078
41,0.11028828085041963,-1.2739020922245123,-1.3348268973521698,0.22388155299883622
42,0.13312859336535135,-1.3261870298630152,-1.4036818009156447,0.25457415672448963
43,0.10647085084556004,-1.241273745512351,-1.2976970428075545,0.22832634280889463
44,0.12691538255566207,-1.3241464296976726,-1.401565053524115,0.22303633315440935
45,0.11145974834186909,-1.2374327029937353,-1.2996218143365321,0.22459132969379425
46,0.12114314925976288,-1.16426704174433,-1.2318430558229103,0.24824589567306715
47,0.12592735590460974,-1.1895624276919243,-1.2653208115161994,0.23007832887845162
48,0.10839555498499137,-1.2615011991598668,-1.3166296145854852,0.24424486893873948
49,0.12571459244459104,-1.216514446796515,-1.2928753113135314,0.2252880422732769
50,0.12207548635510299,-1.1505349171467316,-1.2179035712511113,0.25446324852796703
51,0.12043452907640201,-1.0910011820304089,-1.1608000657497308,0.23490175757652673
52,0.10564314296994454,-1.2269327151469696,-1.2810856042764125,0.23569904955533835
53,0.1297677367543563,-1.2502220196601672,-1.3287197045790844,0.23307308210776403
54,0.115504045994618,-1.0809271274468837,-1.1455426552356818,0.23654580612977347
55,0.11223365777196029,-1.0024595230053632,-1.0670855870613685,0.22137311368416518
56,0.10809016538163026,-1.1538556630794818,-1.2104635880543635,0.23713211180307928
57,0.11841596982991084,-1.1153534956467457,-1.1849907514376519,0.22433088719844818
58,0.12009497034626129,-0.9477403026360732,-1.019635912699577,0.2253105097856277
59,0.11009777657305583,-1.063009766431955,-1.1207341230832613,0.24453290418172494
60,0.11747284262226178,-0.9212980423218164,-0.9930859636037778,0.2131985632272867
61,0.10793840187864426,-0.9157818341866518,-0.9740098149348528,0.2338209935487845
62,0.11516028351317613,-0.9849452804296445,-1.047697045864203,0.24628896514574686
63,0.1261939572600218,-1.0143136489085662,-1.090597574527447,0.23296598325937223
64,0.11683866973870839,-1.010828007490207,-1.073959237489945,0.2521300678833937
65,0.12061408209877136,-0.9276999846482888,-0.9980646631656549,0.2364632261869235
66,0.10787190492145526,-0.9467391020212418,-1.0040155664468422,0.23769203019447815
67,0.12708014011000976,-1.0194978652856288,-1.0906389753023784,0.26349852176812977
68,0.11697929677290794,-0.9781845181416242,-1.0417445974472241,0.25144340021487993
69,0.11302375774352978,-0.9504281817338406,-1.0087072253227234,0.25888650386761397
70,0.12345333149035771,-0.8435777914829743,-0.9159148534138998,0.24200054315420297
71,0.10863839414639351,-0.8954057617065234,-0.9503231170849923,0.25462371836870146
72,0.1133882862348587,-0.921909015912276,-0.9844189194532541,0.23963695420668676
73,0.11134809093215527,-0.9385117109005268,-0.9986338600134238,0.2407545485557654
74,0.12243297944466273,-0.9474464349257641,-1.0160275239210863,0.25416209758856356
75,0.10797818291645783,-1.0164771324548967,-1.065983967903333,0.2766312288168149
76,0.11572825354643357,-0.9347700553062634,-0.9988928865163754,0.24311161079467872
77,0.11127902925587617,-0.9599562241480901,-1.0146024364691515,0.26821390902384734
78,0.11196635099939811,-0.9218375285466512,-0.9757313713049277,0.2758868611775912
79,0.10430893884637417,-0.9240897160310012,-0.9717829426129659,0.2689056897010559
80,0.11163410630363685,-1.0100311377109625,-1.0600710801589184,0.2925021182268094
81,0.10882295806629536,-0.9348188057923928,-0.9846367148252634,0.28092330082868916
82,0.11315617156334412,-0.9314412780297108,-0.9843246753399189,0.2872962951660156
83,0.11123241226260479,-0.9525920320779849,-0.9997744865906544,0.3062725877150511
84,0.11002764163108972,-0.9325794669298025,-0.9794403100625063,0.30188933396950746
85,0.10470681933638377,-0.9296943682890672,-0.9688173624185416,0.3143585889767378
86,0.10569632550080617,-0.8439157177240421,-0.8826655867772225,0.3227409911461366
87,0.09709708736493038,-0.8122379856231885,-0.840450970026163,0.33307437942578244
88,0.099150801411806,-0.8225777057500986,-0.8496761688819299,0.3491409298701164
89,0.09761180757330014,-0.9072643976945144,-0.9283587351823465,0.3700660062141908
90,0.09100995203241324,-1.0106381865648122,-1.0270409614611895,0.35744669040044147
91,0.07735299510069382,-1.035385909752968,-1.0479772304877257,0.307319870361915
92,0.06709025647395696,-1.1205993585097485,-1.1295195023218791,0.2723369323290311
93,0.055328073600927986,-0.7920450522349431,-0.7935259938240051,0.2564099778731664
94,0.038192347599527776,-0.8062753845483829,-0.8019212514926226,0.2006451617448758
95,0.03014484200722132,-1.1488805367396429,-1.1432625498527136,0.1627330646300927
96,0.046039656712076604,-1.4139319352614574,-1.4283865659664838,0.13529285177206382
97,0.045050317946916975,-1.3140609600605109,-1.3249827653933794,0.15105572782265833
98,0.04274268114031889,-1.2440955333220654,-1.248847634364397,0.17230948500144175
99,0.04733888757152435,-1.256834124907469,-1.2636811947211242,0.18447648141628656
100,0.04926757906109859,-1.3225893882604747,-1.3312094486676729,0.18340058548328203
101,0.04375781887807907,-1.17403205541464,-1.1799826927674122,0.17335860354778093
