epoch,loss,e_pos,e_neg,grad_penalty
1,0.19952878470604235,-4.8505906350034165e-05,-6.453780784235838e-05,0.9975635394071921
2,0.17685669297591233,0.003931766611528404,0.003756341595316115,0.8830322348154508
3,0.004978072089262498,0.2675020066209329,0.3435235098004341,0.3841306827007196
4,0.052946083820783175,0.4064518572428288,0.46200378506611556,0.5098524124194415
5,0.10146405356816757,0.1388834928854918,0.1390267440285056,0.49477893572587234
6,0.11121496816094105,0.044697437029427446,0.04643985002229993,0.5566658683312244
7,0.07954274671964157,0.037728569541986175,0.07905615035157937,0.5997951107147412
8,-0.030284559592986718,0.17036370627391031,0.29920683342676896,0.48879405091970396
9,-0.13195652266343436,0.16345050166814756,0.36489601318652815,0.3415292249276088
10,-0.2690309016750409,0.23913828149819985,0.55226258513255,0.2051297617264283
11,-0.24030407623220712,0.5191584122486603,0.8171762228012085,0.2491405277680128
12,-0.09669877259204021,0.22649509607790372,0.37919343726184124,0.24888592270704415
13,-0.05595538349678883,-0.1117760183241887,-0.012166046656859227,0.19999536795493883
14,-0.03837746085646825,-0.16391851600164023,-0.08239060738243353,0.20245745587043273
15,-0.025865143260512598,-0.05899368164439996,0.01158046010786142,0.21176476012437773
16,0.011715094296213908,0.10420389315829827,0.14338596852926108,0.24317341049512228
17,0.05080404591101866,0.08633081361842461,0.09011626599404292,0.263760839899381
18,0.0785442177588359,-0.020960548964257423,-0.0383105610903257,0.29899898171424866
19,0.08474958926821366,0.017945917442632027,-0.007592930518186245,0.2893736698688605
20,0.07039137146411797,0.04342313282764875,0.026008674039099462,0.25685387582351
21,0.06385306746531756,0.11152391715978201,0.10073947734557666,0.24826225944054434
22,0.04775167743747051,-0.257076631180751,-0.222942621471026,0.398074719386223
23,0.02169194941719373,-0.5642597453716474,-0.49635536930499935,0.438702330375329
24,-0.0774324332865385,-0.9156632209435488,-0.7603076375447787,0.3773022316969358
25,-0.18682033052811256,-1.6977716042445257,-1.4558209394797301,0.2425128026650502
26,-0.17439741211441848,-2.692748020856808,-2.470321242625897,0.15450748457358435
27,-0.05553947503750141,-3.1505758334428835,-3.037042966255775,0.1745230624308953
28,-0.0412638110992236,-3.2470592902256894,-3.1460552704639926,0.18182350771549421
29,-0.03927589943393683,-3.398912093578241,-3.2986825001545443,0.1808441304243528
30,-0.022227718136631526,-3.4949294236990123,-3.4080047057225156,0.1947031345887062
31,-0.01922240050939413,-3.6273614259866567,-3.5419782797495523,0.193770537009606
32,-0.03132834252065573,-3.748816190621792,-3.6464978792728524,0.21003998663180914
33,-0.08589387388947682,-4.1015242368747025,-3.9398112235925136,0.208635613322258
34,-0.12115585679809253,-4.84106532121316,-4.636219587081518,0.1834637251419899
35,-0.1461124419210813,-5.60326807315533,-5.358907430599897,0.1756530958108413
36,-0.09772189171650471,-5.162175850990491,-4.965894625737117,0.21916654362128332
37,0.0003645348434264843,-4.413371562957764,-4.332184791564941,0.20501981599208635
38,0.009915909514977382,-4.002876587403127,-3.941116137382312,0.1908915115472598
39,-0.007638230489996763,-3.7448656131059694,-3.670892263070131,0.1855516147155028
40,0.01937921951787594,-3.5938713183769813,-3.5462911006731863,0.1984171680150888
41,0.012975983560467377,-3.40429172760401,-3.3543924246078882,0.1926886798479618
42,0.02279207177269153,-3.271328125244532,-3.2330528039198656,0.19251209879532838
43,-0.0021494106891063545,-3.231852494753324,-3.168361480419452,0.19707200198601454
44,0.023950934219054688,-3.1294558353913136,-3.091558548120352,0.20510192444691291
45,0.012044734154374171,-2.9996892794584618,-2.9508572480617423,0.20904613228944632
46,0.00618036368336433,-3.0126657424828944,-2.958020289738973,0.20781933955657175
47,0.01792886418600877,-3.0115306194011984,-2.967296588115203,0.2139122914045285
48,0.011897759273266181,-2.835818443542872,-2.7836757745498266,0.23427397432999733
49,0.015708793862125814,-2.7977276826516175,-2.7495031968141213,0.2357145452346557
50,0.010429210148942776,-2.732816158196865,-2.6807800439687877,0.23241449090150687
51,0.012282049044584617,-2.725660611421634,-2.6742042150252905,0.2388177915261342
52,0.0027424910893807043,-2.6185026657886996,-2.5565505150036936,0.2495181938776603
53,0.015284959561167618,-2.570691365462083,-2.520092065517719,0.2562395670475104
54,0.019427167251706123,-2.4651228342300806,-2.4168101579715042,0.2722972883627965
